"'{0}' is not a valid URL","'{0}' não é um URL válido"
"{0} is not a valid Workflow State. Please update your Workflow and try again.","{0} não é um estado válido do fluxo de trabalho. Atualize o seu fluxo de trabalho e tente novamente."
"{0} is not a zip file","{0} não é um arquivo zip"
"{0} is not an allowed role for {1}","{0} não é uma função permitida para {1}"
"{0} is not an ancestor of {1}","{0} não é ancestral de {1}"
"{0} is not equal to {1}","{0} não é igual a {1}"
"{0} is not like {1}","{0} não é como {1}"
"{0} is not one of {1}","{0} não é um entre {1}"
"{0} is not set","{0} não está definido"
"{0} is now default print format for {1} doctype","{0} agora é o formato de impressão padrão para o doctype {1}"
"{0} is on or after {1}","{0} está em ou após {1}"
"{0} is on or before {1}","{0} está em ou antes de {1}"
"{0} is one of {1}","{0} é um entre {1}"
"{0} is required","{0} é obrigatório"
"{0} is required.","{0} é obrigatório"
"{0} is set","{0} está definido"
"{0} is within {1}","{0} está dentro de {1}"
"{0} items selected","{0} itens selecionados"
"{0} just impersonated as you. They gave this reason: {1}","{0} acabou de se passar por você. Motivo informado: {1}"
"{0} last edited this","{0} editou isto por último"
"{0} Liked","{0} curtiu"
"{0} List View Settings","Configurações da Visualização em Lista de {0}"
"{0} List","Lista de {0}"
"{0} logged in","{0} conectou-se"
"{0} logged out: {1}","{0} saiu do sistema: {1}"
"{0} M","{0} M"
"{0} Map","Mapa de {0}"
"{0} mentioned you in a comment in {1} {2}","{0} mencionou-o num comentário em {1} {2}"
"{0} minutes ago","há {0} minutos"
"{0} months ago","há {0} meses"
"{0} must be {1} {2}","{0} deve ser {1} {2}"
"{0} must be after {1}","{0} deve ser posterior a {1}"
"{0} must be beginning with '{1}'","{0} deve começar com '{1}'"
"{0} must be equal to '{1}'","{0} deve ser igual a '{1}'"
"{0} must be none of {1}","{0} não pode ser nenhum de {1}"
"{0} must be one of {1}","{0} deve ser um dos {1}"
"{0} must be set first","{0} deve ser definido primeiro"
"{0} must be unique","{0} deve ser único"
"""{0} must begin and end with a letter and can only contain letters","hyphen or underscore.,""{0} deve começar e terminar com uma letra e pode conter apenas letras, hífen ou sublinhado."""
"{0} Name","Nome de {0}"
"{0} not a valid State","{0} não é um estado válido"
"'{0}' not allowed for type {1} in row {2}","'{0}' não permitido para o tipo {1} na linha {2}"
"{0} not allowed to be renamed","Não é permitido alterar o nome de {0}"
"{0} Not allowed to change {1} after submission from {2} to {3}","Não é permitido alterar {1} após o envio de {2} para {3}"
"{0} of {1} ({2} rows with children)","{0} de {1} ({2} linhas com itens filhos)"
"{0} of {1} records match (filtered on visible rows only)","{0} de {1} registros correspondem (filtrado apenas nas linhas visíveis)"
"{0} of {1}","{0} de {1}"
"{0} only.","Apenas {0}."
"{0} or {1}","{0} ou {1}"
"{0} record deleted","{0} registro excluído"
"{0} records are not automatically deleted.","Os registros de {0} não são excluídos automaticamente."
"{0} records are retained for {1} days.","Os registros de {0} são mantidos por {1} dias."
"{0} records deleted","{0} registros excluídos"
"{0} records will be exported","Vão ser exportados {0} registros"
"{0} removed {1} rows from {2}","{0} removeu {1} linhas de {2}"
"{0} removed 1 row from {1}","{0} removeu 1 linha de {1}"
"{0} removed attachment {1}","{0} removeu o anexo {1}"
"{0} removed their assignment.","{0} removeu sua atribuição."
"{0} Report","Relatório de {0}"
"{0} Reports","Relatórios de {0}"
"{0} restricted document","{0} restringiu o documento"
"{0} restricted documents","{0} restringiu os documentos"
"{0} role does not have permission on any doctype","a função {0} não tem permissão em nenhum doctype"
"{0} row #{1}:","{0} linha #{1}:"
"{0} rows from {1}","{0} linhas de {1}"
"{0} rows to {1}","{0} linhas para {1}"
"{0} saved successfully","{0} salvo com sucesso"
"{0} self assigned this task: {1}","{0} autoatribuiu esta tarefa: {1}"
"{0} Settings","Configurações de {0}"
"{0} shared a document {1} {2} with you","{0} compartilhou um documento {1} {2} com você"
"{0} shared this document with {1}","{0} compartilhou este documento com {1}"
"{0} shared this document with everyone","{0} compartilhou este documento com todos"
"{0} should be indexed because it's referred in dashboard connections","{0} deve ser indexado porque é referenciado nas conexões do painel"
"{0} should not be same as {1}","{0} não deve ser igual a {1}"
"{0} submitted this document {1}","{0} enviou este documento {1}"
"{0} submitted this document","{0} enviou este documento"
"{0} subscribers added","{0} inscritos adicionados"
"{0} to {1}","{0} para {1}"
"{0} to stop receiving emails of this type","{0} para parar de receber e-mails deste tipo"
"{0} Tree","Árvore de {0}"
"{0} un-shared this document with {1}","{0} removeu o compartilhamento deste documento com {1}"
"{0} updated","{0} atualizado"
"{0} values selected","{0} valores selecionados"
"{0} viewed this","{0} visualizou isto"
"{0} w","{0} s"
"{0} y","{0} a"
"{0} Web page views","Visualizações de página web de {0}"
"{0} weeks ago","há {0} semanas"
"{0} with the role <strong>{1}</strong>","{0} com a função <strong>{1}</strong>"
"{0} years ago","há {0} anos"
"""{0}","Row {1},""{0}, Linha {1}"""
"{0}/{1} complete | Please leave this tab open until completion.","{0}/{1} concluído | Deixe esta aba aberta até a finalização."
"""{0}: '{1}' ({3}) will get truncated","as max characters allowed is {2},""{0}: '{1}' ({3}) será truncado, pois o máximo permitido de caracteres é {2}"""
"{0}: {1} is set to state {2}","{0}: {1} está definido com o estado {2}"
"{0}: {1} vs {2}","{0}: {1} vs {2}"
"{0}: {1}","{0}: {1}"
"{0}: Cannot set Amend without Cancel","{0}: Não é possível retificar sem Cancelar"
"{0}: Cannot set Assign Amend if not Submittable","{0}: Não é possível definir Atribuir Aditivo se não for Enviável"
"{0}: Cannot set Assign Submit if not Submittable","{0}: Não é possível definir Atribuir Envio se não for Enviável"
"{0}: Cannot set Cancel without Submit","{0}: Não é possível Cancelar sem enviar"
"{0}: Cannot set import as {1} is not importable","{0}: Não é possível definir importação, pois {1} não é importável"
"{0}: Cannot set Import without Create","{0}: Não é possível definir Importar sem Criar"
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Não é possível definir Enviar, Cancelar e Aditivo sem Gravar"
"{0}: Failed to attach new recurring document. To enable attaching document in the auto repeat notification email, enable {1} in Print Settings","{0}: Falha ao anexar novo documento recorrente. Para habilitar anexo de documento no e-mail de notificação de repetição automática, habilite {1} nas Configurações de Impressão"
"{0}: Field '{1}' cannot be set as Unique as it has non-unique values","{0}: O campo '{1}' não pode ser definido como Único, uma vez que possui valores não exclusivos"
"{0}: Field {1} in row {2} cannot be hidden and mandatory without default","{0}: O campo {1} na linha {2} não pode ficar oculto e obrigatório sem valor padrão"
"{0}: Field {1} of type {2} cannot be mandatory","{0}: O campo {1} do tipo {2} não pode ser obrigatório"
"{0}: Fieldname {1} appears multiple times in rows {2}","{0}: O nome de campo {1} aparece várias vezes nas linhas {2}"
"{0}: fieldname cannot be set to reserved field {1} in DocType","{0}: fieldname não pode ser definido como campo reservado {1} no DocType"
"{0}: fieldname cannot be set to reserved keyword {1}","{0}: fieldname não pode ser definido como palavra reservada {1}"
"{0}: Fieldtype {1} for {2} cannot be unique","{0}: O tipo de campo {1} para {2} não pode ser único"
"{0}: No basic permissions set","{0}: Nenhuma permissão básica definida"
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Apenas uma regra é permitida com a mesma Função, Nível e {1}"
"{0}: Options {1} must be the same as doctype name {2} for the field {3}","{0}: A opção {1} deve ser igual ao nome do doctype {2} para o campo {3}"
"{0}: Options must be a valid DocType for field {1} in row {2}","{0}: Opções devem ser um DocType válido para o campo {1} na linha {2}"
"{0}: Options required for Link or Table type field {1} in row {2}","{0}: Opções obrigatórias para campo do tipo Link ou Tabela {1} na linha {2}"
"{0}: Other permission rules may also apply","{0}: Outras regras de permissão também podem se aplicar"
"{0}: Permission at level 0 must be set before higher levels are set","{0}: A permissão no nível 0 deve ser definida antes dos níveis superiores"
"{0}: You can increase the limit for the field if required via {1}","{0}: Você pode aumentar o limite do campo, se necessário, em {1}"
"{1} saved","{1} salvo"
"{0} cell copied","{0} célula copiada"
"{0} cells copied","{0} células copiadas"
"{0} row(s) selected","{0} linha(s) selecionada(s)"
"{0} row(s) selected","{0} linha(s) selecionada(s)"
"{0} rows selected","{0} linhas selecionadas"
"+ Add / Remove Fields","+ Adicionar / Remover Campos"
"0 - Draft; 1 - Submitted; 2 - Cancelled","0 - Rascunho; 1 - Enviado; 2 - Cancelado"
"<b>{0}</b> is not a valid URL","<b>{0}</b> não é um URL válido"
"← Back to upload files","← Voltar para envio de arquivos"
"0 - too guessable: risky password.|||<br>|||1 - very guessable: protection from throttled online attacks. |||<br>|||2 - somewhat guessable: protection from unthrottled online attacks.|||<br>|||3 - safely unguessable: moderate protection from offline slow-hash scenario.|||<br>|||4 - very unguessable: strong protection from offline slow-hash scenario.","0 - fácil demais de adivinhar: senha arriscada.|||<br>|||1 - muito fácil de adivinhar: proteção contra ataques online com limitação de tentativas. |||<br>|||2 - razoavelmente fácil de adivinhar: proteção contra ataques online sem limitação de tentativas.|||<br>|||3 - difícil de adivinhar com segurança: proteção moderada contra cenário offline com hash lento.|||<br>|||4 - muito difícil de adivinhar: forte proteção contra cenário offline com hash lento."
"0 is highest","0 é o mais alto"
"1 = True & 0 = False","1 = Verdadeiro & 0 = Falso"
"1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent","1 Moeda = [?] Fração|||Por exemplo, 1 USD = 100 Cent"
"1 day ago","há 1 dia"
"1 Day","1 Dia"
"1 Google Calendar Event synced.","1 evento do Google Calendar sincronizado."
"1 hour ago","há 1 hora atrás"
"1 hour","1 hora"
"1 minute ago","há 1 minuto atrás"
"1 month ago","1 mês atrás"
"1 of 2","1 de 2"
"1 record will be exported","será exportado 1 registro"
"1 Report","1 Relatório"
"1 row from {0}","1 linha de {0}"
"1 second ago","há 1 segundo"
"1 week ago","há 1 semana"
"1 year ago","1 ano atrás"
"2 hours ago","há 2 horas"
"2 months ago","há 2 meses"
"2 weeks ago","há 2 semanas"
"2 years ago","há 2 anos"
"3 minutes ago","há 3 minutos"
"30 minutes","30 minutos"
"4 hours","4 horas"
"5 days ago","há 5 dias"
"5 Records","5 registros"
"""A list of resources which the Client App will have access to after the user allows it.<br> e.g. project","Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto"""""""","
"A symbol for this currency. For e.g. $","Um símbolo para esta moeda. Por exemplo: R$"
"About Us","Sobre Nós"
"About","Sobre"
"Accept Invitation","Aceitar Convite"
"Accepted At","Aceitado a"
"Accepted","Aceitado"
"Access Control","Controle de Acesso"
"Access Log","Log de Acesso"
"Access Token","Token de Acesso"
"Account Deletion Settings","Configurações de exclusão de conta"
"Account","Conta"
"Accounts Manager","Gerente de Contas"
"Accounts User","Usuário de Contas"
"Action / Route","Ação / Rota"
"Action Complete","Ação Concluída"
"Action Failed","Ação Falhou"
"Action Label","Etiqueta de ação"
"Action Timeout (Seconds)","Tempo Limite de Ação (Segundos)"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active Directory","Diretório Ativo"
"Active Domains","Domínios ativos"
"Active Sessions","Sessões Ativas"
"Active","Ativo"
"Add","Incluir"
"Adds a clear (×) button to Link fields, allowing users to quickly remove the selected value.","Adiciona um botão de limpar (×) aos campos de Link, permitindo que os usuários removam rapidamente o valor selecionado."
"Activity Log","Log de Atividades"
"Activity","Atividade"
"Activities","Ver Histórico"
"Add / Remove Columns","Adicionar / Remover Colunas"
"Add / Update","Adicionar / Atualizar"
"Add {0}","Incluir {0}"
"Add a Filter","Adicionar filtro"
"Add Attachment","Adicionar Anexo"
"Add Background Image","Adicionar Imagem de Fundo"
"Add Border at Bottom","Adicionar borda na parte inferior"
"Add Border at Top","Adicionar borda na parte superior"
"Add Column","Adicionar Coluna"
"Add Contact","Adicionar Contato"
"Add Container","Adicionar recipiente"
"Add tab","Adicionar Aba"
"Add CSS","Adicionar CSS"
"Add Filters","Adicionar Filtros"
"Add Group","Agrupamento"
"Add Gray Background","Adicionar fundo cinza"
"Add New","Adicionar Novo"
"Add Query Parameters","Adicionar Parâmetros de Consulta"
"Add row","Adicionar linha"
"Add Sidebar Item","Adicionar item na barra lateral"
"Add Signature","Adicionar assinatura"
"Add Space at Top","Adicionar Espaço no Topo"
"Add Tags","Adicionar etiqueta"
"Add Total Row","Adicionar Linha de Total"
"Add to ToDo","Adicionar a Lista de Tarefas"
"Add to Desktop","Adicionar ao Desktop"
"Add Translate Data","Adicionar Dados Traduzidos"
"Add Unsubscribe Link","Adicionar link para cancelar inscrição"
"Additional Permissions","Permissões Adicionais"
"Address and other legal information you may want to put in the footer.","Endereço e outras informações legais que você pode querer colocar no rodapé."
"Address Line 1","Endereço Linha 1"
"Address Line 2","Endereço Linha 2"
"Address Template","Modelo de Endereço"
"Address Title","Título do Endereço"
"Address Type","Tipo de Endereço"
"Address","Endereço"
"Address Street","Logradouro"
"Address Street Type","Tipo de Logradouro"
"Administration","Administração"
"Administrator","Administrador"
"Advanced","Avançado"
"Advanced Search","Busca Avançada"
"Advanced Settings","Configurações avançadas"
"After Cancel","Após Cancelar"
"After Delete","Após Excluir"
"After Insert","Após a Inserção"
"After Rename","Depois de Renomear"
"After Save (Submitted Document)","Após salvar (documento enviado)"
"After Save","Após salvar"
"After Submission","Após Enviar"
"After Submit","Após o envio"
"Aggregate Function Based On","Função agregada com base em"
"Alert","Alerta"
"Align Labels to the Right","Alinhar etiquetas à direita"
"Align Right","Alinhar à direita"
"Align","Alinhar"
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved","1 is """"""""Submitted"""""""" and 2 is """"""""Cancelled"""""""",""""""""Todos os estados de fluxo de trabalho possíveis e funções do fluxo de trabalho. Opções de status do documento: 0 é """"""""""""""""Salvo"""""""""""""""", 1 é """"""""""""""""Enviado"""""""""""""""" e 2 é """"""""""""""""Cancelado"""""""""""""""""""""""","""
"All Records","Todos os Registros"
"ALL","Tudo"
"Allowing DocType, DocType. Be careful!","Permitindo DocType, DocType. Tenha cuidado!"
"Allocated To","Atribuído a"
"Allow Sending Usage Data for Improving Applications","Permitir o envio de dados de uso para melhorar as aplicações"
"Allow Clearing Link Fields","Permitir limpar campos de link"
"Allow approval for creator of the document","Permitir aprovação para o criador do documento"
"Allow Auto Repeat","Permitir repetição automática"
"Allow Bulk Edit","Permitir edição em massa"
"Allow Bulk Editing","Permitir edição em massa"
"Allow Consecutive Login Attempts","Permitir Tentativas Consecutivas de Login"
"Allow editing even if the doctype has a workflow set up. Does nothing if a workflow isn't set up.","Permitir edição mesmo que o docType tenha um fluxo de trabalho configurado. Não tem efeito se não houver fluxo de trabalho configurado."
"Allow events in timeline","Permitir eventos na linha do tempo"
"Allow Guest to View","Permitir visualização de convidado"
"Allow Guests to Upload Files","Permitir que visitantes     enviem arquivos"
"Allow Guest","Permitir convidado"
"Allow in Quick Entry","Permitir na entrada rápida"
"Allow Login using Mobile Number","Permitir login usando número do celular"
"Allow Login using User Name","Permitir Login usando o nome de usuário"
"Allow Modules","Permitir Módulos"
"Allow on Submit","Permitir ao Enviar"
"Allow only one session per user","Permitir apenas uma sessão por usuário"
"Allow Print for Cancelled","Permitir impressão para cancelado"
"Allow Print for Draft","Permitir Impressão de Rascunho"
"Allow Read On All Link Options","Permitir leitura em todas as opções de link"
"Allow Rename","Permitir Renomear"
"Allow Roles","Permitir Funções"
"Allow saving if mandatory fields are not filled","Permitir salvar se os campos obrigatórios não são preenchidas"
"Allow Self Approval","Permitir auto-aprovação"
Allow Import (via Data Import Tool),Permitir Importação (via Importação de Dados)
"""Allow user to login only after this hour (0-24)","Permitir o login do usuário apenas após esta hora (0-24)"
"""Allow user to login only before this hour (0-24)","Permitir o login do usuário apenas antes desta hora (0-24)"
"Allowed In Mentions","Permitido nas menções"
"Allowed Roles","Funções Permitidas"
"Allowed File Extensions","Extensões de arquivo permitidas"
"Allowed","Permitido"
"""Always add ""Draft"" Heading for printing draft documents","Sempre adicionar """"""""""""""""Rascunho"""""""""""""""" no cabeçalho para impressão de documentos não enviados"""""""","
"Always BCC Address","Endereço de Cópia Oculta Permanente"
"Always use this email address as sender address","Sempre usar este endereço de e-mail como remetente"
"Always use this name as sender name","Sempre usar este nome como remetente"
"Amend","retificar"
"""amended_from field must be present to do an amendment.","O campo ""amended_from"" deve estar presente para fazer uma alteração."""
"Analytics","Análise"
"and","e"
"API Access","Acesso API"
"API Endpoint Args","Argumentos de endpoint da API"
"API Endpoint","Endpoint da API"
"API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.","Chave de API e segredo para interagir com o servidor de retransmissão. Eles serão gerados automaticamente quando a primeira notificação push for enviada de qualquer um dos aplicativos instalados neste site."
"API Key cannot be regenerated","A chave de API não pode ser regenerada"
"API Key","Chave da API"
"API Keys","Chaves de API"
"API Logging","Logs de API"
"API Method","Método API"
"API Request Log","Log de requisições da API"
"API Secret","Segredo da API"
"API","API"
"App Name (Client Name)","Nome do aplicativo (nome do cliente)"
"App","Aplicativo"
"""Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.","Anexar como comunicação vinculada a este DocType (deve possuir os campos: """"Remetente"""" e """"Assunto""""). Estes campos podem ser definidos na seção de configurações de e-mail do DocType vinculado."
"Append To","Vincular a"
"Application Logo","Logo do aplicativo"
"Application Name","Nome da Aplicação"
"Application Version","Versão do aplicativo"
"Applied On","Aplicado em"
"Apply Filters","Aplicar filtros"
"Apply Assignment Rule","Aplicar Regra de Atribuição" 
"Apply Strict User Permissions","Aplicar permissões de usuário estrito"
"Apply this rule if the User is the Owner","Aplicar esta regra se o usuário é o proprietário"
"Apply","Aplicar"
"Archive","Arquivar"
"Archived","Arquivado"
"Are you sure you want to log out?","Tem certeza de que deseja sair?"
"Are you sure you want to remove the {0} filter?","Tem certeza que deseja remover o filtro {0}?"
"Are you sure you want to delete the attachment?","Tem certeza de que deseja excluir o anexo?"
"Are you sure you want to delete the column? All the fields in the column will be moved to the previous column.","Tem certeza de que deseja excluir a coluna? Todos os campos da coluna serão movidos para a coluna anterior."
"Are you sure you want to delete all {0} rows?","Tem certeza de que deseja excluir todas as {0} linhas?"
"ASC","CRESC"
"ascending","crescente"
"Assign Condition","Atribuir condição"
"Assign to me","Atribuir a mim"
"Assign To Users","Atribuir aos usuários"
"Assign To","Atribuir a"
Assign To User Group,Atribuir ao Grupo de Usuário
"Assign","Atribuir"
"Assigned By Full Name","Atribuído por Nome completo"
"Assigned By","Atribuído por"
"Assigned To","Atribuído a"
"Assigned","Atribuído"
"Assignment Completed","Atribuição Concluída"
"Assignment Days","Dias de atribuição"
"Assignment Rule","Regra de atribuição"
"Assignment Rules","Regras de Atribuição"
"Assignment","Atribuição"
"Assignments","Atribuições"
"Attach Image","Anexar Imagem"
"Attach Print","Anexar cópia"
"Attach","Anexar"
"Attached File","Arquivo anexo"
"Attached To Field","Relacionado ao campo"
"Attached To Name","Anexado Para Nome"
"Attachment Limit (MB)","Limite de Anexo (MB)"
"Attachment Limit Reached","Limite de Anexos Atingido"
"Attachment Link","Link de Anexo"
"Attachment Removed","Anexo Removido"
"Attachment","Anexo"
"Attachments","Anexos"
"Audit Trail","Trilha de Auditoria"
"Audits","Auditoria"
"Auth URL Data","Dados de URL de autenticação"
"Authentication Apps you can use are:","Os aplicativos de autenticação que você pode usar são:"
"Authentication","Autenticação"
"Author","Autor"
"Authorization Code","Código de autorização"
"Authorization","Autorização"
"Authorize API Indexing  Access","Autorizar acesso de indexação de API"
"Authorize Google Calendar Access","Autorizar acesso ao Google Agenda"
"Authorize Google Contacts Access","Autorizar o acesso dos Contatos do Google"
"Authorize URL","Autorizar URL"
"Authorized","Autorizado"
"Auto Email Report","Relatório automático por e-mail"
"Auto Name","Nome Automático"
"Auto Repeat","Repetição Automática"
"Auto Reply Message","Resposta Automática"
"Auto Reply","Resposta Automática"
Allow document creation via Email,Permitir a criação de documentos via e-mail
"Automatic","Automático"
"Automatically Assign Documents to Users","Atribuir documentos automaticamente aos usuários"
