Email Unsubscribe,Cancelar inscrição de e-mail
Field "route" is mandatory for Web Views,O campo "route" é obrigatório para visualizações web
Field "title" is mandatory if "Website Search Field" is set.,O campo "title" é obrigatório se "Website Search Field" estiver definido.
Field "value" is mandatory. Please specify value to be updated,O campo "value" é obrigatório. Informe o valor a ser atualizado
Field <code>{0}</code> not found in {1},Campo <code>{0}</code> não encontrado em {1}
Field Missing,Campo ausente
Field Name,Nome do campo
Field Orientation (Left-Right),Orientação do campo (esquerda-direita)
Field Orientation (Top-Down),Orientação do campo (cima-baixo)
Field Template,Modelo de campo
Field Type,Tipo de campo
Field is required,O campo é obrigatório
Field not found,Campo não encontrado
Field not permitted in query,Campo não permitido na consulta
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Campo que representa o Estado do Fluxo de Trabalho da transação (se o campo não existir, um novo Campo Personalizado oculto será criado)"
Field type cannot be changed for {0},O tipo do campo não pode ser alterado para {0}
Field {0} does not exist on {1},O campo {0} não existe em {1}
Field {0} is referring to non-existing doctype {1}.,O campo {0} está referenciando o doctype inexistente {1}.
Field {0} must be a virtual field to support virtual doctype.,O campo {0} deve ser um campo virtual para suportar doctype virtual.
Field {0} not found.,Campo {0} não encontrado.
Field {0} on document {1} is neither a Mobile number field nor a Customer or User link,O campo {0} no documento {1} não é um campo de número de celular nem um link para Cliente ou Usuário
Fieldname '{0}' conflicting with a {1} of the name {2} in {3},Fieldname '{0}' em conflito com um {1} de nome {2} em {3}
Fieldname called {0} must exist to enable autonaming,Um fieldname chamado {0} deve existir para habilitar nomeação automática
Fieldname is limited to 64 characters ({0}),O fieldname é limitado a 64 caracteres ({0})
Fieldname not set for Custom Field,Fieldname não definido para Campo Personalizado
Fieldname which will be the DocType for this link field.,Fieldname que será o DocType para este campo de link.
Fieldname {0} appears multiple times,Fieldname {0} aparece várias vezes
Fieldname {0} cannot have special characters like {1},Fieldname {0} não pode ter caracteres especiais como {1}
Fieldname {0} conflicting with meta object,Fieldname {0} em conflito com objeto meta
Fieldname {0} is restricted,Fieldname {0} é restrito
Fields Multicheck,Multicheck de campos
Fields `file_name` or `file_url` must be set for File,Os campos `file_name` ou `file_url` devem ser definidos para Arquivo
Fields must be a list or tuple when as_list is enabled,Os campos devem ser uma lista ou tupla quando as_list estiver habilitado
"Fields must be a string, list, tuple, pypika Field, or pypika Function","Os campos devem ser string, lista, tupla, pypika Field ou pypika Function"
"Fields separated by comma (,) will be included in the \"Search By\" list of Search dialog box","Os campos separados por vírgula (,) serão incluídos na lista \"Search By\" da caixa de diálogo de busca"
Fieldtype,Fieldtype
Fieldtype cannot be changed from {0} to {1},Fieldtype não pode ser alterado de {0} para {1}
Fieldtype cannot be changed from {0} to {1} in row {2},Fieldtype não pode ser alterado de {0} para {1} na linha {2}
File,Arquivo
File "{0}" was skipped because of invalid file type,O arquivo "{0}" foi ignorado devido a tipo de arquivo inválido
File "{0}" was skipped because only {1} uploads are allowed,O arquivo "{0}" foi ignorado porque apenas uploads {1} são permitidos
File "{0}" was skipped because only {1} uploads are allowed for DocType "{2}",O arquivo "{0}" foi ignorado porque apenas uploads {1} são permitidos para o DocType "{2}"
File "{0}" was skipped because size exceeds {1} MB,O arquivo "{0}" foi ignorado porque o tamanho excede {1} MB
File '{0}' not found,Arquivo '{0}' não encontrado
File Type,Tipo de arquivo
File backup is ready,O backup do arquivo está pronto
File name cannot have {0},O nome do arquivo não pode conter {0}
File not attached,Arquivo não anexado
File size exceeded the maximum allowed size of {0} MB,O tamanho do arquivo excedeu o tamanho máximo permitido de {0} MB
File too big,Arquivo muito grande
File type of {0} is not allowed,O tipo de arquivo de {0} não é permitido
File upload failed.,Falha no upload do arquivo.
File {0} does not exist,O arquivo {0} não existe
Files,Arquivos
Filter Area,Área de filtros
Filter List,Lista de filtros
Filter Name,Nome do filtro
Filter condition missing after operator: {0},Condição de filtro ausente após o operador: {0}
Filter fields have invalid backtick notation: {0},Campos de filtro possuem notação com crase inválida: {0}
Filter...,Filtro...
Filtered By,Filtrado por
Filtered Records,Registros filtrados
Filtered by "{0}",Filtrado por "{0}"
Filtered by: {0}.,Filtrado por: {0}.
Filters Editor,Editor de filtros
Filters saved,Filtros salvos
"Filters will be accessible via <code>filters</code>. <br><br>Send output as <code>result = [result]</code>, or for old style <code>data = [columns], [result]</code>","Os filtros estarão acessíveis via <code>filters</code>. <br><br>Envie a saída como <code>result = [result]</code>, ou no estilo antigo <code>data = [columns], [result]</code>"
Filters:,Filtros:
Find '{0}' in ...,Encontrar '{0}' em ...
Find {0} in {1},Encontrar {0} em {1}
Finished At,Concluído em
First,Primeiro
First Day of the Week,Primeiro dia da semana
First data column must be blank.,A primeira coluna de dados deve estar em branco.
First set the name and save the record.,Primeiro defina o nome e salve o registro.
Fit,Ajustar
Float,Float
Fold can not be at the end of the form,Dobra não pode estar no final do formulário
Fold must come before a Section Break,A dobra deve vir antes de uma Quebra de Seção
Folder Name,Nome da pasta
Folder name should not include '/' (slash),O nome da pasta não deve incluir '/' (barra)
Folder {0} is not empty,A pasta {0} não está vazia
Folio,Folio
Follow,Seguir
Followed by,Seguido por
Following Report Filters have missing values:,Os seguintes filtros de relatório possuem valores ausentes:
Following document {0},Seguindo documento {0}
Following documents are linked with {0},Os seguintes documentos estão vinculados com {0}
Following fields are missing:,Os seguintes campos estão ausentes:
Following fields have invalid values:,Os seguintes campos possuem valores inválidos:
Following fields have missing values,Os seguintes campos possuem valores ausentes
Following fields have missing values:,Os seguintes campos possuem valores ausentes:
Font,Fonte
Footer "Powered By",Rodapé "Powered By"
Footer Based On,Rodapé baseado em
Footer Details,Detalhes do rodapé
Footer HTML set from attachment {0},HTML do rodapé definido a partir do anexo {0}
Footer Image,Imagem do rodapé
Footer Script,Script do rodapé
Footer might not be visible as {0} option is disabled</div>,O rodapé pode não estar visível porque a opção {0} está desabilitada</div>
For DocType,Para DocType
For DocType Link / DocType Action,Para Link de DocType / Ação de DocType
For Document,Para Documento
For Document Type,Para Tipo de Documento
For Example: {} Open,Por exemplo: {} Aberto
For User,Para Usuário
"For a dynamic subject, use Jinja tags like this: <code>{{ doc.name }} Delivered</code>","Para um assunto dinâmico use tags Jinja assim: <code>{{ doc.name }} Delivered</code>"
"For comparison, use >5, <10 or =324.|||For ranges, use 5:10 (for values between 5 & 10).","Para comparação use >5, <10 ou =324.|||Para intervalos use 5:10 (para valores entre 5 e 10)."
"For comparison, use >5, <10 or =324. For ranges, use 5:10 (for values between 5 & 10).","Para comparação use >5, <10 ou =324. Para intervalos use 5:10 (para valores entre 5 e 10)."
"For comparison, use >5, <10 or =324.||||For ranges, use 5:10 (for values between 5 & 10).","Para comparação use >5, <10 ou =324.||||Para intervalos use 5:10 (para valores entre 5 e 10)."
For example:,Por exemplo:
"For example: If you want to include the document ID, use {0}","Por exemplo: se quiser incluir o ID do documento use {0}"
For help see <a href="https://frappeframework.com/docs/user/en/guides/portal-development/web-forms" target="_blank">Client Script API and Examples</a>,Para ajuda veja <a href="https://frappeframework.com/docs/user/en/guides/portal-development/web-forms" target="_blank">API e exemplos de Script do Cliente</a>
"For more information, {0}.","Para mais informações, {0}."
"For multiple addresses, enter the address on different line. e.g. test@test.com ⏎ test1@test.com","Para vários endereços informe cada endereço em uma linha diferente. Ex.: test@test.com ⏎ test1@test.com"
"For updating, you can update only selective columns.","Para atualizar você pode atualizar apenas colunas selecionadas."
For {0} at level {1} in {2} in row {3},Para {0} no nível {1} em {2} na linha {3}
Force Re-route to Default View,Forçar redirecionamento para visualização padrão
Force Stop job,Forçar parada da tarefa
Force Web Capture Mode for Uploads,Forçar modo de captura web para uploads
Form,Formulário
Form Builder,Construtor de formulário
Form Dict,Dict do formulário
Form Tour,Tour do formulário
Form Tour Step,Etapa do tour do formulário
Format,Formato
Fortnightly,Quinzenal
Forward,Encaminhar
Forward Query Parameters,Encaminhar parâmetros da consulta
Forward To Email Address,Encaminhar para endereço de e-mail
Frappe,Frappe
Frappe Blog,Blog do Frappe
Frappe Forum,Fórum do Frappe
Frappe Framework,Frappe Framework
Frappe Mail,Frappe Mail
Frappe Mail OAuth Error,Erro OAuth do Frappe Mail
Frappe Mail Site,Site do Frappe Mail
Frappe page builder using components,Construtor de páginas do Frappe com componentes
Free,Grátis
Friday,Sexta-feira
From,De
From Attach Field,Do campo de anexo
From Date,Data inicial
From Document Type,Do Tipo de Documento
From Field,Do campo
From User,Do Usuário
From version,Da versão
Full Page,Página inteira
Function,Função
Function Based On,Função baseada em
Function {0} is not whitelisted.,A função {0} não está na whitelist.
"Function {0} requires arguments but none were provided","A função {0} exige argumentos, mas nenhum foi fornecido"
Further sub-groups can only be created under records marked as 'Group',Subgrupos adicionais só podem ser criados sob registros marcados como 'Group'
Fw: {0},Enc: {0}
GET,GET
GNU Affero General Public License,GNU Affero General Public License
GNU General Public License,GNU General Public License
Gantt,Gantt
Gantt View,Visualização Gantt
Genderqueer,Gênero não binário
General,Geral
Generate New Report,Gerar novo relatório
Generate Random Password,Gerar senha aleatória
Generate Separate Documents For Each Assignee,Gerar documentos separados para cada responsável
Generate Tracking URL,Gerar URL de rastreamento
Geo,Geo
Geoapify,Geoapify
Geolocation Settings,Configurações de geolocalização
Get Alerts for Today,Obter alertas de hoje
Get Backup Encryption Key,Obter chave de criptografia de backup
Get Fields,Obter campos
Get Header and Footer wkhtmltopdf variables,Obter variáveis de cabeçalho e rodapé do wkhtmltopdf
Get Items,Obter itens
Get OpenID Configuration,Obter configuração OpenID
Get PDF,Obter PDF
Get a preview of generated names with a series.,Obter pré-visualização dos nomes gerados com uma série.
Getting Started,Primeiros passos
Git Branch,Branch Git
GitHub,GitHub
Github flavoured markdown syntax,Sintaxe Markdown estilo GitHub
Global Search DocType,DocType da Busca Global
Global Search Document Types Reset.,Tipos de Documento da Busca Global redefinidos.
Global Shortcuts,Atalhos globais
Go Back,Voltar
Go to Login Required field,Ir para o campo Login Obrigatório
Go to Notification Settings List,Ir para a lista de Configurações de Notificação
Go to Workflow,Ir para Fluxo de Trabalho
Go to Workspace,Ir para Área de Trabalho
Go to next record,Ir para o próximo registro
Go to previous record,Ir para o registro anterior
Go to the document,Ir para o documento
Go to this URL after completing the form,Ir para esta URL após concluir o formulário
Go to {0},Ir para {0}
Go to {0} List,Ir para a lista de {0}
Go to {0} Page,Ir para a página de {0}
Goal,Meta
Google,Google
Google Analytics anonymise IP,Anonimizar IP no Google Analytics
Google Calendar,Google Calendar
"Google Calendar - Could not create Calendar for {0}, error code {1}.","Google Calendar - Não foi possível criar o calendário para {0}, código de erro {1}."
"Google Calendar - Could not delete Event {0} from Google Calendar, error code {1}.","Google Calendar - Não foi possível excluir o Evento {0} do Google Calendar, código de erro {1}."
"Google Calendar - Could not fetch event from Google Calendar, error code {0}.","Google Calendar - Não foi possível buscar o evento do Google Calendar, código de erro {0}."
"Google Calendar - Could not insert contact in Google Contacts {0}, error code {1}.","Google Calendar - Não foi possível inserir contato no Google Contacts {0}, código de erro {1}."
"Google Calendar - Could not insert event in Google Calendar {0}, error code {1}.","Google Calendar - Não foi possível inserir evento no Google Calendar {0}, código de erro {1}."
"Google Calendar - Could not update Event {0} in Google Calendar, error code {1}.","Google Calendar - Não foi possível atualizar o Evento {0} no Google Calendar, código de erro {1}."
Google Calendar has been configured.,Google Calendar foi configurado.
"Google Contacts - Could not sync contacts from Google Contacts {0}, error code {1}.","Google Contacts - Não foi possível sincronizar contatos do Google Contacts {0}, código de erro {1}."
"Google Contacts - Could not update contact in Google Contacts {0}, error code {1}.","Google Contacts - Não foi possível atualizar contato no Google Contacts {0}, código de erro {1}."
Google Contacts Id,ID do Google Contacts
Google Drive,Google Drive
Google Drive Picker,Seletor do Google Drive
Google Drive Picker Enabled,Seletor do Google Drive habilitado
Google Meet Link,Link do Google Meet
Google Sheets URL is invalid or not publicly accessible.,A URL do Google Sheets é inválida ou não está acessível publicamente.
Google Sheets URL must end with "gid={number}". Copy and paste the URL from the browser address bar and try again.,A URL do Google Sheets deve terminar com "gid={number}". Copie e cole a URL da barra de endereços do navegador e tente novamente.
Grant Type,Tipo de concessão
Graph,Gráfico
Gray,Cinza
Greater Than,Maior que
Greater Than Or Equal To,Maior ou igual a
Green,Verde
Grid Empty State,Estado vazio da grade
Grid Page Length,Tamanho da página da grade
Grid Shortcuts,Atalhos da grade
Group,Grupo
Group By,Agrupar por
Group By field is required to create a dashboard chart,O campo Agrupar por é obrigatório para criar um gráfico de painel
Group By must be a string,Agrupar por deve ser uma string
Group Object Class,Classe de objeto de grupo
Grouped by <span style='font-weight:600;'>{0}</b>,Agrupado por <span style='font-weight:600;'>{0}</b>
HEAD,CABEÇALHO
HERE,AQUI
HTML,HTML
HTML Message,Mensagem HTML
HTML with jinja support,HTML com suporte a Jinja
Half Day,Meio dia
Half Yearly,Semestral
Half-yearly,Semestral
Has  Attachment,Tem anexo
Has Attachments,Tem anexos
Has Domain,Tem domínio
Has Next Condition,Tem próxima condição
Has Role,Tem perfil
Has Setup Wizard,Tem assistente de configuração
Has Web View,Tem visualização web
Have an account? Login,Já tem uma conta? Faça login
Header HTML set from attachment {0},HTML do cabeçalho definido a partir do anexo {0}
Header Icon,Ícone do cabeçalho
Header Script,Script do cabeçalho
Header and Breadcrumbs,Cabeçalho e breadcrumbs
"Header, Robots","Cabeçalho, Robots"
Header/Footer scripts can be used to add dynamic behaviours.,Scripts de cabeçalho/rodapé podem ser usados para adicionar comportamentos dinâmicos.
Headers must be a dictionary,Cabeçalhos devem ser um dicionário
Heading,Cabeçalho
Hello,Olá
Help Article,Artigo de ajuda
Help Articles,Artigos de ajuda
Help Category,Categoria de ajuda
Help Dropdown,Menu suspenso de ajuda
"Help: To link to another record in the system, use \"/desk/note/[Note Name]\" as the Link URL. (don't use \"http://\")","Ajuda: Para vincular a outro registro no sistema, use \"/desk/note/[Note Name]\" como URL do link. (não use \"http://\")"
Helpful,Útil
Helvetica,Helvetica
Helvetica Neue,Helvetica Neue
Here's your tracking URL,Aqui está sua URL de rastreamento
Hi {0},Olá {0}
Hidden,Oculto
Hidden Fields,Campos ocultos
Hidden columns include: <br> {0},As colunas ocultas incluem: <br> {0}
Hide Buttons,Ocultar botões
Hide Custom DocTypes and Reports,Ocultar DocTypes e Relatórios personalizados
Hide Descendants,Ocultar descendentes
Hide Empty Read-Only Fields,Ocultar campos vazios somente leitura
Hide Error,Ocultar erro
Hide Label,Ocultar rótulo
Hide Login,Ocultar login
Hide Preview,Ocultar pré-visualização
"Hide Previous, Next and Close button on highlight dialog.","Ocultar os botões Anterior, Próximo e Fechar no diálogo de destaque."
"Hide Sidebar, Menu, and Comments","Ocultar barra lateral, menu e comentários"
Hide Standard Menu,Ocultar menu padrão
Hide Weekends,Ocultar fins de semana
Hide descendant records of <b>For Value</b>.,Ocultar registros descendentes de <b>For Value</b>.
Hide details,Ocultar detalhes
Hide footer,Ocultar rodapé
Hide footer in auto email reports,Ocultar rodapé em relatórios automáticos por e-mail
Hide footer signup,Ocultar cadastro no rodapé
Hide navbar,Ocultar barra de navegação
High,Alta
Home/Test Folder 1,Home/Test Folder 1
Home/Test Folder 1/Test Folder 3,Home/Test Folder 1/Test Folder 3
Home/Test Folder 2,Home/Test Folder 2
Hourly Maintenance,Manutenção por hora
Hours,Horas
Human-readable name intended for display to the end user.,Nome legível destinado à exibição para o usuário final.
ID (name),ID (nome)
ID (name) of the entity whose property is to be set,ID (nome) da entidade cuja propriedade será definida
"IDs must contain only alphanumeric characters, not contain spaces, and should be unique.","IDs devem conter apenas caracteres alfanuméricos, não conter espaços e devem ser únicos."
IMAP Details,Detalhes do IMAP
IMAP Folder,Pasta IMAP
IMAP Folder Not Found,Pasta IMAP não encontrada
IMAP Folder Validation Failed,Falha na validação da pasta IMAP
IMAP Folder name cannot be empty.,O nome da pasta IMAP não pode ficar vazio.
Icon Image,Imagem do ícone
Icon Style,Estilo do ícone
Icon Type,Tipo de ícone
Icon is not correctly configured please check the workspace sidebar to it,O ícone não está configurado corretamente; verifique na barra lateral da área de trabalho.
Idx,Índice
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Se Aplicar Permissão de Usuário Estrita estiver marcado e uma Permissão de Usuário estiver definida para um DocType para um Usuário, então todos os documentos em que o valor do link estiver em branco não serão mostrados para esse Usuário"
"If Checked workflow status will not override status in list view","Se marcado, o status do fluxo de trabalho não substituirá o status na visualização de lista"
